Idx,Net,Sta,epLat,epLon,evDp,epTime,Lat(deg),Lon(deg),elev,Az(deg),EpDis(deg),snrZ,snrR,snrT,filePathE,filePathN,filePathZ
7,AF,IFE,-22.36,-68.69,118.7,2010-03-04T22:09:29.811001Z,7.546667,4.45692,283.8,76.46564794363654,77.56,7.02,14.57,4.17,./catalog_GCMT_2010-03-04_2010-05-13_Mw6.0-8.0_50-300km/2010-03-04-22-39-29/AF.IFE..BHE__20100304T220929Z__20100304T230929Z.mseed,./catalog_GCMT_2010-03-04_2010-05-13_Mw6.0-8.0_50-300km/2010-03-04-22-39-29/AF.IFE..BHN__20100304T220929Z__20100304T230929Z.mseed,./catalog_GCMT_2010-03-04_2010-05-13_Mw6.0-8.0_50-300km/2010-03-04-22-39-29/AF.IFE..BHZ__20100304T220929Z__20100304T230929Z.mseed
8,AF,KAD,-22.36,-68.69,118.7,2010-03-04T22:09:29.802301Z,10.4305,7.64028,679.1,75.15429957577244,81.62,7.55,17.61,6.74,./catalog_GCMT_2010-03-04_2010-05-13_Mw6.0-8.0_50-300km/2010-03-04-22-39-29/AF.KAD..BHE__20100304T220929Z__20100304T230929Z.mseed,./catalog_GCMT_2010-03-04_2010-05-13_Mw6.0-8.0_50-300km/2010-03-04-22-39-29/AF.KAD..BHN__20100304T220929Z__20100304T230929Z.mseed,./catalog_GCMT_2010-03-04_2010-05-13_Mw6.0-8.0_50-300km/2010-03-04-22-39-29/AF.KAD..BHZ__20100304T220929Z__20100304T230929Z.mseed
9,AF,KUKU,-22.36,-68.69,118.7,2010-03-04T22:09:29.815000Z,6.19232,-0.36842,212.4,75.6072595522401,72.65,11.10,9.72,13.23,./catalog_GCMT_2010-03-04_2010-05-13_Mw6.0-8.0_50-300km/2010-03-04-22-39-29/AF.KUKU..BHE__20100304T220929Z__20100304T230929Z.mseed,./catalog_GCMT_2010-03-04_2010-05-13_Mw6.0-8.0_50-300km/2010-03-04-22-39-29/AF.KUKU..BHN__20100304T220929Z__20100304T230929Z.mseed,./catalog_GCMT_2010-03-04_2010-05-13_Mw6.0-8.0_50-300km/2010-03-04-22-39-29/AF.KUKU..BHZ__20100304T220929Z__20100304T230929Z.mseed
11,AF,SEK,-22.36,-68.69,118.7,2010-03-04T22:09:29.845000Z,-28.323,27.625,1486.0,118.53747608767917,84.92,9.40,2.55,4.16,./catalog_GCMT_2010-03-04_2010-05-13_Mw6.0-8.0_50-300km/2010-03-04-22-39-29/AF.SEK..BHE__20100304T220929Z__20100304T230929Z.mseed,./catalog_GCMT_2010-03-04_2010-05-13_Mw6.0-8.0_50-300km/2010-03-04-22-39-29/AF.SEK..BHN__20100304T220929Z__20100304T230929Z.mseed,./catalog_GCMT_2010-03-04_2010-05-13_Mw6.0-8.0_50-300km/2010-03-04-22-39-29/AF.SEK..BHZ__20100304T220929Z__20100304T230929Z.mseed
12,AF,SHAI,-22.36,-68.69,118.7,2010-03-04T22:09:29.815000Z,5.88136,0.04389,82.2,76.08537959241653,72.88,12.12,9.98,16.47,./catalog_GCMT_2010-03-04_2010-05-13_Mw6.0-8.0_50-300km/2010-03-04-22-39-29/AF.SHAI..BHE__20100304T220929Z__20100304T230929Z.mseed,./catalog_GCMT_2010-03-04_2010-05-13_Mw6.0-8.0_50-300km/2010-03-04-22-39-29/AF.SHAI..BHN__20100304T220929Z__20100304T230929Z.mseed,./catalog_GCMT_2010-03-04_2010-05-13_Mw6.0-8.0_50-300km/2010-03-04-22-39-29/AF.SHAI..BHZ__20100304T220929Z__20100304T230929Z.mseed
15,AF,WIN,-22.36,-68.69,118.7,2010-03-04T22:09:29.845000Z,-22.5667,17.1,1728.0,109.68478563128969,78.08,7.57,2.46,5.93,./catalog_GCMT_2010-03-04_2010-05-13_Mw6.0-8.0_50-300km/2010-03-04-22-39-29/AF.WIN..BHE__20100304T220929Z__20100304T230929Z.mseed,./catalog_GCMT_2010-03-04_2010-05-13_Mw6.0-8.0_50-300km/2010-03-04-22-39-29/AF.WIN..BHN__20100304T220929Z__20100304T230929Z.mseed,./catalog_GCMT_2010-03-04_2010-05-13_Mw6.0-8.0_50-300km/2010-03-04-22-39-29/AF.WIN..BHZ__20100304T220929Z__20100304T230929Z.mseed
16,AF,YNDE,-22.36,-68.69,118.7,2010-03-04T22:09:29.815000Z,3.87,11.456,717.0,82.73821206720051,82.45,31.33,8.28,12.83,./catalog_GCMT_2010-03-04_2010-05-13_Mw6.0-8.0_50-300km/2010-03-04-22-39-29/AF.YNDE..BHE__20100304T220929Z__20100304T230929Z.mseed,./catalog_GCMT_2010-03-04_2010-05-13_Mw6.0-8.0_50-300km/2010-03-04-22-39-29/AF.YNDE..BHN__20100304T220929Z__20100304T230929Z.mseed,./catalog_GCMT_2010-03-04_2010-05-13_Mw6.0-8.0_50-300km/2010-03-04-22-39-29/AF.YNDE..BHZ__20100304T220929Z__20100304T230929Z.mseed
17,AI,BELA,-22.36,-68.69,118.7,2010-03-04T22:09:29.800000Z,-77.875,-34.6269,262.0,171.9806643604244,57.82,14.17,4.08,9.49,./catalog_GCMT_2010-03-04_2010-05-13_Mw6.0-8.0_50-300km/2010-03-04-22-39-29/AI.BELA..BHE__20100304T220929Z__20100304T230929Z.mseed,./catalog_GCMT_2010-03-04_2010-05-13_Mw6.0-8.0_50-300km/2010-03-04-22-39-29/AI.BELA..BHN__20100304T220929Z__20100304T230929Z.mseed,./catalog_GCMT_2010-03-04_2010-05-13_Mw6.0-8.0_50-300km/2010-03-04-22-39-29/AI.BELA..BHZ__20100304T220929Z__20100304T230929Z.mseed
21,AW,VNA2,-22.36,-68.69,118.7,2010-03-04T22:08:54.948400Z,-70.925,-7.393,442.0,160.5479001562131,59.73,9.28,2.48,6.79,./catalog_GCMT_2010-03-04_2010-05-13_Mw6.0-8.0_50-300km/2010-03-04-22-39-29/AW.VNA2..BHE__20100304T220929Z__20100304T230929Z.mseed,./catalog_GCMT_2010-03-04_2010-05-13_Mw6.0-8.0_50-300km/2010-03-04-22-39-29/AW.VNA2..BHN__20100304T220929Z__20100304T230929Z.mseed,./catalog_GCMT_2010-03-04_2010-05-13_Mw6.0-8.0_50-300km/2010-03-04-22-39-29/AW.VNA2..BHZ__20100304T220929Z__20100304T230929Z.mseed
22,AW,VNA3,-22.36,-68.69,118.7,2010-03-04T22:09:20.128400Z,-71.242,-9.666,566.0,161.20236371237007,59.16,7.06,2.89,3.12,./catalog_GCMT_2010-03-04_2010-05-13_Mw6.0-8.0_50-300km/2010-03-04-22-39-29/AW.VNA3..BHE__20100304T220929Z__20100304T230929Z.mseed,./catalog_GCMT_2010-03-04_2010-05-13_Mw6.0-8.0_50-300km/2010-03-04-22-39-29/AW.VNA3..BHN__20100304T220929Z__20100304T230929Z.mseed,./catalog_GCMT_2010-03-04_2010-05-13_Mw6.0-8.0_50-300km/2010-03-04-22-39-29/AW.VNA3..BHZ__20100304T220929Z__20100304T230929Z.mseed
